	stem	count	lyric_count	p_english	p_lyrics	cliche
66	afraid	27727.0	10118.0	8.40732287374e-05	0.000216283205393	0.944900495221
67	african	34557.0	1.0	0.000104783011703	2.13760827627e-08	-8.49737426655
68	african-american	9121.0	1.0	2.76565051868e-05	2.13760827627e-08	-7.16534357913
69	after	454191.0	17466.0	0.00137718843847	0.000373354661534	-1.30527053338
70	afternoon	33202.0	1778.0	0.000100674409079	3.80066751521e-05	-0.974129830934
71	afterward	6353.0	1.0	1.92634335546e-05	2.13760827627e-08	-6.80369127422
72	again	206895.0	70207.0	0.000627342686177	0.00150075064252	0.872227750011
73	against	204379.0	8043.0	0.000619713723667	0.000171927833661	-1.28218281836
74	age	110407.0	5087.0	0.000334773793241	0.000108740133014	-1.12449412474
75	agenc	56954.0	1.0	0.000172694726062	2.13760827627e-08	-8.99700805641
76	agenda	16449.0	1.0	4.98763133228e-05	2.13760827627e-08	-7.75502881703
77	agent	38265.0	1.0	0.000116026331649	2.13760827627e-08	-8.5992997722
78	aggress	19406.0	1.0	5.88424667969e-05	2.13760827627e-08	-7.92034642854
79	ago	125252.0	5029.0	0.000379786491355	0.000107500320214	-1.26211540367
80	agre	76753.0	1703.0	0.000232728839228	3.64034689449e-05	-1.85520992492
81	agreement	38141.0	1.0	0.000115650341446	2.13760827627e-08	-8.59605395096
82	agricultur	17156.0	1.0	5.20200639167e-05	2.13760827627e-08	-7.79711209859
83	ah	9788.0	20832.0	2.96789686184e-05	0.000445306556113	2.70832426749
84	ahead	51830.0	4969.0	0.000157157840569	0.000106217755248	-0.391759372535
85	aid	58037.0	683.0	0.000175978575981	1.45998645269e-05	-2.48935001055
86	aim	26167.0	2622.0	7.93430294071e-05	5.60480890039e-05	-0.347570542505
87	air	105932.0	14884.0	0.000321204791958	0.00031816161584	-0.00951942129257
88	aircraft	11591.0	1.0	3.51459874597e-05	2.13760827627e-08	-7.40499306684
89	airlin	17164.0	1.0	5.20443213492e-05	2.13760827627e-08	-7.79757829907
90	airplan	8254.0	1.0	2.50276059436e-05	2.13760827627e-08	-7.06546206327
91	airport	20897.0	1.0	6.33634457722e-05	2.13760827627e-08	-7.99436973993
92	aisl	5828.0	1.0	1.76715395492e-05	2.13760827627e-08	-6.71743802027
93	alarm	7631.0	1227.0	2.31385583906e-05	2.62284535499e-05	0.125344414467
94	album	15869.0	2054.0	4.81176494692e-05	4.39064739946e-05	-0.0915872620284
95	alcohol	15877.0	1236.0	4.81419069017e-05	2.64208382947e-05	-0.600000015014
96	alien	7134.0	886.0	2.16315653988e-05	1.89392093278e-05	-0.132919268268
97	alik	5740.0	1.0	1.74047077921e-05	2.13760827627e-08	-6.70222334227
98	aliv	24184.0	14745.0	7.33302183354e-05	0.000315190340336	1.45820393184
99	all	1069419.0	361511.0	0.00324266989588	0.00772768905563	0.868412827622
100	alleg	15333.0	1.0	4.64924014942e-05	2.13760827627e-08	-7.68477150039
101	allegedli	5451.0	1.0	1.65284080444e-05	2.13760827627e-08	-6.65056321002
102	alley	6236.0	1109.0	1.89086686048e-05	2.37060757839e-05	0.226110904219
103	alli	14025.0	1.0	4.25263112865e-05	2.13760827627e-08	-7.59560558334
104	allianc	8948.0	1.0	2.71319382098e-05	2.13760827627e-08	-7.14619417556
105	allow	114892.0	1878.0	0.000348373116316	4.01442834284e-05	-2.16079402884
106	almost	127907.0	5564.0	0.000387836926754	0.000118936524492	-1.18199501624
107	alon	58088.0	39472.0	0.000176133217113	0.00084375673881	1.56662360475
108	along	117401.0	13911.0	0.000355980853572	0.000297362687312	-0.179924384122
109	alongsid	6166.0	1.0	1.86964160708e-05	2.13760827627e-08	-6.7738144614
110	alreadi	115220.0	6492.0	0.000349367671047	0.000138773529296	-0.923281547606
111	also	464606.0	1970.0	0.00140876858336	4.21108830426e-05	-3.51016504479
112	alter	11106.0	810.0	3.36753806166e-05	1.73146270378e-05	-0.665215387089
113	altern	30486.0	1.0	9.2439010758e-05	2.13760827627e-08	-8.37203169378
114	although	107925.0	2050.0	0.00032724792482	4.38209696636e-05	-2.01060560125
115	altogeth	7147.0	1.0	2.16709837265e-05	2.13760827627e-08	-6.92145682017
116	aluminum	6468.0	1.0	1.96121341463e-05	2.13760827627e-08	-6.82163107365
117	alway	179474.0	53207.0	0.000544197304231	0.00113735723556	0.737150763045
118	am	34451.0	407827.0	0.000104461600722	0.00871774370487	4.42429618731
119	amaz	15124.0	2943.0	4.58586760711e-05	6.29098115707e-05	0.316137730269
120	ambassador	5847.0	1.0	1.77291509513e-05	2.13760827627e-08	-6.72069284113
121	ambit	5962.0	793.0	1.8077851543e-05	1.69512336308e-05	-0.0643469055572
122	ambiti	6040.0	1.0	1.83143615095e-05	2.13760827627e-08	-6.75316814388
123	amend	8132.0	1.0	2.46576800985e-05	2.13760827627e-08	-7.0505710277
124	american	288031.0	1.0	0.000873361566215	2.13760827627e-08	-10.6178322452
125	amid	7264.0	1.0	2.20257486763e-05	2.13760827627e-08	-6.93769477324
126	among	138192.0	1900.0	0.000419022888364	4.06145572492e-05	-2.33379898932
127	amount	49944.0	1.0	0.000151439150866	2.13760827627e-08	-8.8656665097
128	analysi	53840.0	1.0	0.000163252520475	2.13760827627e-08	-8.94078081727
